,country,patientid
0, afghanistan,1
1, australia,69
2, australia ,4
3, austria,3
4, belgium,1
5, brazil,2
6, canada,15
7, china,35
8, colombia,1
9, denmark,2
10, egypt,14
11, germany,167
12, greece,1
13, guatemala,2
14, iran,11
15, israel,4
16, italy,68
17, italy ,4
18, japan,11
19, jordan,2
20, malaysia,2
21, new zealand,1
22, pakistan,8
23, philippines,3
24, portugal,4
25, qatar,2
26, russia ,2
27, saudi arabia,6
28, south korea,3
29, spain,43
30, spain ,5
31, sweden,2
32, taiwan,6
33, taiwan ,2
34, turkey,1
35, united kingdom,27
36, united kingdom ,10
37, united states,40
38, vietnam,6
39,argentina,1
40,australia,11
41,austria,3
42,belgium,1
43,china,7
44,germany,2
45,greece,2
46,hong kong,14
47,hungary,9
48,italy,71
49,malta,8
50,pakistan,6
51,portugal,7
52,saudi arabia,6
53,singapore,3
54,south korea,6
55,spain,24
56,taiwan,6
57,thailand,3
58,turkey,1
59,united kingdom,25
60,united kingdom ,4
