Dataset,Release year,Samples,Version,Author,Source,Cite,Comment
JRST,2000,,,,,,
MC (Montgomery),2014,,,,,,
SH (Shenzhen),2014,,,,,,
Indiana,2016,,,,,,
ChestX-ray8,2017,,,,,,
ChestX-ray14,2017,,,,,,NIH
CheXpert,2019,,,,,,
Padchest,2019,,,,,,
MIMIC-CXR,2019,,,,,,
VinDR-CXR,2022,,,,,,
Large Dataset of Labeled Optical Coherence Tomography (OCT) and Chest X-Ray Images,2018,,3,Kermany et al.,https://data.mendeley.com/datasets/rscbjbr9sj/3,"Kermany D, Goldbaum M, Cai W et al. Identifying Medical Diagnoses and Treatable Diseases by Image-Based Deep Learning. Cell. 2018; 172(5):1122-1131. doi:10.1016/j.cell.2018.02.010.",
COVID-19 image data collection,2020,,,Cohen et al.,https://github.com/ieee8023/covid-chestxray-dataset,"COVID-19 image data collection, arXiv:2003.11597, 2020, Joseph Paul Cohen and Paul Morrison and Lan Dao, https://github.com/ieee8023/covid-chestxray-dataset",
COVIDx dataset,2020,,,Wang et al.,https://www.nature.com/articles/s41598-020-76550-z AND https://github.com/lindawangg/COVID-Net,"Wang, L., Lin, Z.Q. & Wong, A. COVID-Net: a tailored deep convolutional neural network design for detection of COVID-19 cases from chest X-ray images. Sci Rep 10, 19549 (2020). https://doi.org/10.1038/s41598-020-76550-z",
COVID-19 DATABASE,2020,,,SIRM - Italian Society of Medical and Interventional Radiology,https://sirm.org/category/covid-19/,,
RICORD,2021,,,Tsai et al.,https://pubs.rsna.org/doi/10.1148/radiol.2021203957,"Tsai EB, Simpson S, Lungren MP, Hershman M, Roshkovan L, Colak E, Erickson BJ, Shih G, Stein A, Kalpathy-Cramer J, Shen J, Hafez M, John S, Rajiah P, Pogatchnik BP, Mongan J, Altinmakas E, Ranschaert ER, Kitamura FC, Topff L, Moy L, Kanne JP, Wu CC. The RSNA International COVID-19 Open Radiology Database (RICORD). Radiology. 2021 Apr;299(1):E204-E213. doi: 10.1148/radiol.2021203957. Epub 2021 Jan 5. PMID: 33399506; PMCID: PMC7993245.",
CANDID-PTX,2021,,,Feng et al.,https://figshare.com/articles/dataset/CANDID-PTX/14173982,"Sijing FengSijing Feng, Damian Azzollini, Ji Soo Kim, Cheng Kai Jin, Eve Kim, Simon Gordon, Jason Yeoh, Min A Han, Andrew Lee, Aakash Patel, Martin UrschlerMartin Urschler, Amy Fong, Cameron Simmers, Gregory Tarr, Stuart Barnard, Ben Wilson",
