Dataset used,"Include (0), Exclude (1), Duplicate (2)",Title,Dataset updated,Authors,Description,Content,Acknowledgements
,2,3 kinds of Pneumonia,"May 30, 2022",Artsiom Kolas,,,
,1,Cinematic rendering for three-dimensional reconstructions of the chest wall: a new reality,"feb. 12, 2020",Altair da Silva Costa Jr.; Norman Gellada,,,
,1,"Automaton AI Chest X-Ray Data - for deep learning, image processing","jan. 8, 2021",,"Chest X-Ray Data for pneumonia, covid, asthma detection can be used for developing Deep Learning models",,
,1,Balanced Augmented Covid CXR Dataset,"sep. 7, 2022",Mrinal Tyagi,,,
,1,Chest-CT Images,"dec. 24, 2020",Bhanu Prakash Doppala,,,
,2,Chest X-Ray Images (Pneumonia) - TFRecords,"sep. 1, 2022",Marco Carosi,,,
,1,Micrometer-resolution X-ray tomographic imaging of a complete intact post mortem juvenile rat lung,2020,Christian M. Schlepütz,,,
,2,Chest X-Ray Masks and Defect Detection,"dec. 22, 2020",Muhammad Ibkar Azki Himmawan,,,
,2,Chest X-Rays Dataset,"nov. 4, 2022",Mohamed Traore,,,
,2,Chest Xray for covid-19 detection,"May 15, 2020",Fusic Fenta,,,
,1,Shoulder X-ray Classification,"jun. 17, 2021",Dr Yari,,,
,2,Chest Xray Masks and Labels,"jan. 21, 2019",Nikhil Pandey,,,
,2,chest-xray-dataset,"aug. 31, 2020",Alif Rahman,,,
,1,Calculation of dark-field-to-attenuation CNR ratios of in vivo porcine lung tissue.,"jun. 3, 2019",Fabio De Marco; Konstantin Willer; Lukas B. Gromann; Jana Andrejewski; Katharina Hellbach; Andrea Bähr; Michaela Dmochewitz; Thomas Koehler; Hanns-Ingo Maack; Franz Pfeiffer; Julia Herzen,,,
,1,Number of PTX that were missed by the EIT observers and the detection algorithm according to their size.,"jan. 10, 2020",Felix Girrbach; Tobias Landeck; Dominic Schneider; Stefan U. Reske; Gunther Hempel; Sören Hammermüller; Udo Gottschaldt; Peter Salz; Katharina Noreikat; Sebastian N. Stehr; Hermann Wrigge; Andreas W. Reske,,,
,2,ChestX-ray8 Dataset,,Xiaosong Wang; Yifan Peng; Le Lu; Zhiyong Lu; Mohammadhadi Bagheri; Ronald M. Summers,"ChestX-ray8 is a medical imaging dataset which comprises 108,948 frontal-view X-ray images of 32,717 (collected from the year of 1992 to 2015) unique patients with the text-mined eight common disease labels, mined from the text radiological reports via NLP techniques.",,
,1,Decoding tumour phenotype by noninvasive imaging using a quantitative radiomics approach.,2014,H.J.W.L. Aerts; E.Rios Velazquez; R.T.H. Leijenaar; C. Parmar; P. Grossmann; S. Carvalho; S. Cavalho; J. Bussink; R. Monshouwer; B. Haibe-Kains; D. Rietveld; F. Hoebers; M.M. Rietbergen; R. Leemans; A. Dekker; J. Quackenbush; R.J. Gillies; P. Lambin,,,
,2,ChestX-ray8_DataFrame,"jul. 12, 2020",Md. Redwan Karim Sony,,,
,1,Odds ratio of TB for men compared to women by age group.,"apr. 23, 2020",Hai Viet Nguyen; Edine W. Tiemersma; Hoa Binh Nguyen; Frank G. J. Cobelens; Alyssa Finlay; Philippe Glaziou; Cu Huy Dao; Veriko Mirtskhulava; Hung Van Nguyen; Huyen T. T. Pham; Ngoc T. T. Khieu; Petra de Haas; Nam Hoang Do; Phan Do Nguyen; Cong Van Cung; Nhung Viet Nguyen,,,
,1,"Screening outcomes of the survey, by sex, age, area and region.","apr. 23, 2020",Hai Viet Nguyen; Edine W. Tiemersma; Hoa Binh Nguyen; Frank G. J. Cobelens; Alyssa Finlay; Philippe Glaziou; Cu Huy Dao; Veriko Mirtskhulava; Hung Van Nguyen; Huyen T. T. Pham; Ngoc T. T. Khieu; Petra de Haas; Nam Hoang Do; Phan Do Nguyen; Cong Van Cung; Nhung Viet Nguyen,,,
,1,COVIDx CT,"jun. 2, 2022",Hayden Gunraj,,,
,2,Covid Pneumonia dataset,"jan. 3, 2022",Redwanul Islam,,,
,2,COVID-19 Chest X-Ray Image Repository,"May 20, 2021",Arman Haghanifar; Mahdiyar Molahasani Majdabadi; Seokbum Ko,Dataset of publicly available images from COVID-19 positive patients collected from various sources over the net. All images are chest x-rays from frontal view (AP or PA). There is a ZIP file containing 755 images.Note that some of the images are from pediatrics and/or from early-stage patients with no specific image findings noted by the radiologist; but all of them are from PCR-positive cases. Related guideline and details are available in the related GitHub repo.,,
,1,covidx_v3,"jun. 25, 2020",Manan Mehta,,,
X-ray images three levels,0,X-ray images three levels,"jun. 9, 2021",Subrato Bharati; Prajoy Podder; M. Rubaiyat Hossain Mondal,"The total X-ray images are 5,935 where pneumonia affected X-rays are 4,273 images, healthy lung X-rays are 1583 images and COVID-19 affected X-rays are 79 images.",,
X-Ray Lung Image Dataset,0,X-ray Lung Diseases Images (9 classes),"feb. 16, 2023",Fernando Feltrin,,,
,1,Conventional and Lodox chest x-ray images,"aug. 15, 2022",Muchui Julius Thambura,,,
,1,Comparison of accuracies between methods.,"dec. 15, 2020",Musatafa Abbas Abbood Albadr; Sabrina Tiun; Masri Ayob; Fahad Taha AL-Dhief; Khairuddin Omar; Faizal Amri Hamzah,,,
,1,Tomographic assessment of thoracic fungal diseases: a pattern and signs approach,"Oct 31, 2018",Pedro Paulo Teixeira e Silva Torres; Marcelo Fouad Rabahi; Maria Auxiliadora Carmo Moreira; Pablo Rydz Pinheiro Santana; Antônio Carlos Portugal Gomes; Edson Marchiori,,,
