Dataset,Source
Belarus,https://drive.google.com/file/d/1MinxZjUH06VMy5JXbirQxBAmmwpyc3Rk/view
ChestX-ray14,https://nihcc.app.box.com/v/ChestXray-NIHCC
ChestX-ray8,https://nihcc.app.box.com/v/ChestXray-NIHCC
CheXpert,https://stanfordmlgroup.github.io/competitions/chexpert/
India,https://data.mendeley.com/datasets/rscbjbr9sj/3
Indiana,https://openi.nlm.nih.gov/faq#faq-tb-coll
JRST,http://www.jsrt.or.jp
MC,https://openi.nlm.nih.gov/faq#faq-tb-coll
MIMIC-CXR,https://physionet.org/content/mimic-cxr/
OPENIST,http://www.chestx-ray.com/index.php/education/normal-cxr-module-train-your-eye#!1
RSNA,"RSNA pneumonia detection challenge | kaggle. [Accessed April 23], 2019. https://www.kaggle.com/c/rsna-pneumonia-detection-challenge."
SH,https://openi.nlm.nih.gov/faq#faq-tb-coll
TBX,http://sourceforge.net/projects/tbxpredict/files/data/
