Dataset,"Availability (public=0, private = 1)","Screening_fulltext (0=include, 1=exclude, 2 = duplicate, 3=no access to article)","Exclude (0=include, 1=exclude, 2 = duplicate)",,id,doi,title,display_name,publication_year,publication_date,type,authorships
,,3,0,1311,https://openalex.org/W2056121298,https://doi.org/10.1016/j.annemergmed.2011.06.244,215 REDUCE ACP Study: Radiographs in the Emergency Department Utilization Criteria Evaluation - Adult Chest Pain,215 REDUCE ACP Study: Radiographs in the Emergency Department Utilization Criteria Evaluation - Adult Chest Pain,2011,2011-10-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2576676047', 'display_name': 'D. Kim', 'orcid': None}, 'institutions': [], 'is_corresponding': None, 'raw_affiliation_string': ''}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2574987008', 'display_name': 'R. Suter', 'orcid': None}, 'institutions': [], 'is_corresponding': None, 'raw_affiliation_string': ''}]"
,1,1,0,353,https://openalex.org/W2093198621,https://doi.org/10.1016/s1556-0864(15)31627-0,A Clinical Prediction Rule to Estimate the Probability of Mediastinal Metastasis in Patients with Non-small Cell Lung Cancer,A Clinical Prediction Rule to Estimate the Probability of Mediastinal Metastasis in Patients with Non-small Cell Lung Cancer,2006,2006-11-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2120357529', 'display_name': 'Shirin Shafazand', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I145608581', 'display_name': 'University of Miami', 'ror': 'https://ror.org/02dgjyy92', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Division of Pulmonary and Critical Care Medicine University of Miami Miller School of Medicine Miami Florida'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2434197264', 'display_name': 'Michael K. Gould', 'orcid': 'https://orcid.org/0000-0001-6749-8315'}, 'institutions': [{'id': 'https://openalex.org/I204866599', 'display_name': 'VA Palo Alto Health Care System', 'ror': 'https://ror.org/00nr17z89', 'country_code': 'US', 'type': 'healthcare'}, {'id': 'https://openalex.org/I97018004', 'display_name': 'Stanford University', 'ror': 'https://ror.org/00f54p054', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Division of Pulmonary and Critical Care Medicine, VA Palo Alto Health Care System, Palo Alto, Californina; Stanford University School of Medicine, Stanford, California'}]"
,1,1,0,1124,https://openalex.org/W2078959508,https://doi.org/10.1118/1.3694096,A computerized scheme for lung nodule detection in multiprojection chest radiography,A computerized scheme for lung nodule detection in multiprojection chest radiography,2012,2012-04-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A3030419400', 'display_name': 'Wei Guo', 'orcid': 'https://orcid.org/0000-0001-5445-7872'}, 'institutions': [{'id': None, 'display_name': 'Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Duke University Medical Center, Durham, North Carolina 27705 and College of Information Science and Engineering, Northeastern University, Shenyang, Liaoning 110004 China', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Duke University Medical Center, Durham, North Carolina 27705 and College of Information Science and Engineering, Northeastern University, Shenyang, Liaoning 110004 China'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2309593456', 'display_name': 'Qiang Li', 'orcid': 'https://orcid.org/0000-0001-9503-995X'}, 'institutions': [{'id': 'https://openalex.org/I170897317', 'display_name': 'Duke University', 'ror': 'https://ror.org/00py81415', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Duke University Medical Center, Durham, North Carolina 27705'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2158581895', 'display_name': 'Sarah J. Boyce', 'orcid': None}, 'institutions': [{'id': None, 'display_name': 'Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Duke University Medical Center, Durham, North Carolina 27705 and Department of Biomedical Engineering, University of North Carolina, Chapel Hill, North Carolina 27599', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Duke University Medical Center, Durham, North Carolina 27705 and Department of Biomedical Engineering, University of North Carolina, Chapel Hill, North Carolina 27599'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2098014877', 'display_name': 'H. Page McAdams', 'orcid': 'https://orcid.org/0000-0002-7044-3320'}, 'institutions': [{'id': 'https://openalex.org/I170897317', 'display_name': 'Duke University', 'ror': 'https://ror.org/00py81415', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Duke University Medical Center, Durham, North Carolina 27705'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2619681227', 'display_name': 'Junji Shiraishi', 'orcid': 'https://orcid.org/0000-0002-7899-9876'}, 'institutions': [{'id': 'https://openalex.org/I96036126', 'display_name': 'Kumamoto University', 'ror': 'https://ror.org/02cgss904', 'country_code': 'JP', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Faculty of Life Sciences, Kumamoto University, 4‐24‐1 Kuhonji, Kumamoto 962‐0976, Japan'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2295706482', 'display_name': 'Kunio Doi', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I40347166', 'display_name': 'University of Chicago', 'ror': 'https://ror.org/024mw5h28', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Kurt Rossmann Laboratories for Radiologic Image Research, Department of Radiology, The University of Chicago, Chicago, Illinois\u200960637'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A329639111', 'display_name': 'Ehsan Samei', 'orcid': 'https://orcid.org/0000-0001-7451-3309'}, 'institutions': [{'id': 'https://openalex.org/I170897317', 'display_name': 'Duke University', 'ror': 'https://ror.org/00py81415', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': ''}]"
,,3,0,218,https://openalex.org/W2132848430,https://doi.org/10.1136/thx.2007.079673,A critical appraisal of overdiagnosis: estimates of its magnitude and implications for lung cancer screening,A critical appraisal of overdiagnosis: estimates of its magnitude and implications for lung cancer screening,2008,2008-04-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2484076812', 'display_name': 'J M Reich', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I1342778266', 'display_name': 'Providence Regional Medical Center Everett', 'ror': 'https://ror.org/05dshav68', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Thoracic Oncology Program, Earl A Chiles Research Institute, Portland Providence Medical Center, 7400 SW Barnes Rd, A622, Portland, OR 97225, USA.'}]"
,,3,0,410,https://openalex.org/W2945822762,https://doi.org/10.1109/rivf.2019.8713648,A Deep Learning Method for Lung Segmentation on Large Size Chest X-Ray Image,A Deep Learning Method for Lung Segmentation on Large Size Chest X-Ray Image,2019,2019-03-20,proceedings-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2164938602', 'display_name': 'Hieu Trung Huynh', 'orcid': 'https://orcid.org/0000-0002-2097-0704'}, 'institutions': [{'id': 'https://openalex.org/I8775707', 'display_name': 'Vietnamese-German University', 'ror': 'https://ror.org/01jxtqc31', 'country_code': 'VN', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Computer Science, Vietnamese-Germany University, Binh Duong new city, Vietnam'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2118223262', 'display_name': 'Vo Anh', 'orcid': 'https://orcid.org/0000-0003-2463-2099'}, 'institutions': [{'id': 'https://openalex.org/I8775707', 'display_name': 'Vietnamese-German University', 'ror': 'https://ror.org/01jxtqc31', 'country_code': 'VN', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Computer Science, Vietnamese-Germany University, Binh Duong new city, Vietnam'}]"
,,1,0,872,https://openalex.org/W2592604313,https://doi.org/10.1177/0962280217693262,A doubly robust approach for cost–effectiveness estimation from observational data,A doubly robust approach for cost–effectiveness estimation from observational data,2018,2018-10-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2304545451', 'display_name': 'Jiaqi Li', 'orcid': 'https://orcid.org/0000-0001-6966-222X'}, 'institutions': [{'id': 'https://openalex.org/I79576946', 'display_name': 'University of Pennsylvania', 'ror': 'https://ror.org/00b30xv10', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '1 Department of Biostatistics & Epidemiology, University of Pennsylvania, Philadelphia, PA, USA.'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A66719603', 'display_name': 'Anil Vachani', 'orcid': 'https://orcid.org/0000-0002-3871-8697'}, 'institutions': [{'id': 'https://openalex.org/I79576946', 'display_name': 'University of Pennsylvania', 'ror': 'https://ror.org/00b30xv10', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '2 Department of Medicine, University of Pennsylvania, Philadelphia, PA, USA'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2170159767', 'display_name': 'Andrew J. Epstein', 'orcid': 'https://orcid.org/0000-0001-5078-6564'}, 'institutions': [{'id': 'https://openalex.org/I79576946', 'display_name': 'University of Pennsylvania', 'ror': 'https://ror.org/00b30xv10', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '2 Department of Medicine, University of Pennsylvania, Philadelphia, PA, USA'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2164246097', 'display_name': 'Nandita Mitra', 'orcid': 'https://orcid.org/0000-0002-7714-3910'}, 'institutions': [{'id': 'https://openalex.org/I79576946', 'display_name': 'University of Pennsylvania', 'ror': 'https://ror.org/00b30xv10', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '1 Department of Biostatistics & Epidemiology, University of Pennsylvania, Philadelphia, PA, USA.'}]"
JSRT,"0,1",0,0,217,https://openalex.org/W2169620647,https://doi.org/10.1109/tmi.2006.884198,A Fully Automated Method for Lung Nodule Detection From Postero-Anterior Chest Radiographs,A Fully Automated Method for Lung Nodule Detection From Postero-Anterior Chest Radiographs,2006,2006-11-30,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A210847712', 'display_name': 'Paola Campadelli', 'orcid': 'https://orcid.org/0000-0002-8219-4122'}, 'institutions': [{'id': 'https://openalex.org/I189158943', 'display_name': 'University of Milan', 'ror': 'https://ror.org/00wjc7c48', 'country_code': 'IT', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Dept. of Comput. Sci., Universita degli Studi di Milano, Milan'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2119862246', 'display_name': 'Elena Casiraghi', 'orcid': 'https://orcid.org/0000-0003-2024-7572'}, 'institutions': [{'id': 'https://openalex.org/I189158943', 'display_name': 'University of Milan', 'ror': 'https://ror.org/00wjc7c48', 'country_code': 'IT', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '[Department of Computer Science, Università degli Studi di Milano, Milan, Italy]'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2709122770', 'display_name': 'D. Artioli', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I4210094195', 'display_name': ""Ospedale Niguarda Ca' Granda"", 'ror': 'https://ror.org/00htrxv69', 'country_code': 'IT', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': ""[Radiology Department, Ospedale Niguarda Ca'Granda di Milano, Milan, Italy]""}]"
"JSRT, Belarus","0,1",0,0,305,https://openalex.org/W2968776390,https://doi.org/10.1109/tbme.2019.2933508,A Generic Approach to Lung Field Segmentation From Chest Radiographs Using Deep Space and Shape Learning,A Generic Approach to Lung Field Segmentation From Chest Radiographs Using Deep Space and Shape Learning,2020,2020-04-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2410108837', 'display_name': 'Awais Mansoor', 'orcid': 'https://orcid.org/0000-0001-6761-8030'}, 'institutions': [{'id': 'https://openalex.org/I1336742384', 'display_name': 'Children’s National Health System', 'ror': 'https://ror.org/03wa2q724', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': ""Children's National Health System, Sheikh Zayed Institute for Pediatric Surgical Innovation, Washington, DC, USA""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A1933970159', 'display_name': 'Juan J. Cerrolaza', 'orcid': None}, 'institutions': [{'id': None, 'display_name': ""Children's National Health SystemSheikh Zayed Institute for Pediatric Surgical Innovation"", 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': ""Children's National Health SystemSheikh Zayed Institute for Pediatric Surgical Innovation""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2164570167', 'display_name': 'Geovanny F. Perez', 'orcid': 'https://orcid.org/0000-0003-2843-6837'}, 'institutions': [{'id': None, 'display_name': ""Division of Pulmonary and Sleep MedicineChildren's National Health System"", 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': ""Division of Pulmonary and Sleep MedicineChildren's National Health System""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2312768647', 'display_name': 'Elijah Biggs', 'orcid': None}, 'institutions': [{'id': None, 'display_name': ""Children's National Health SystemSheikh Zayed Institute for Pediatric Surgical Innovation"", 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': ""Children's National Health SystemSheikh Zayed Institute for Pediatric Surgical Innovation""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2107342312', 'display_name': 'Kazunori Okada', 'orcid': 'https://orcid.org/0000-0001-7321-7911'}, 'institutions': [{'id': 'https://openalex.org/I71838634', 'display_name': 'San Francisco State University', 'ror': 'https://ror.org/05ykr0121', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Computer Science DepartmentSan Francisco State University'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2739104068', 'display_name': 'Gustavo Nino', 'orcid': 'https://orcid.org/0000-0001-8621-6109'}, 'institutions': [{'id': None, 'display_name': ""Division of Pulmonary and Sleep MedicineChildren's National Health System"", 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': ""Division of Pulmonary and Sleep MedicineChildren's National Health System""}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2302947853', 'display_name': 'Marius George Linguraru', 'orcid': 'https://orcid.org/0000-0001-6175-8665'}, 'institutions': [{'id': None, 'display_name': ""Sheikh Zayed Institute for Pediatric Surgical InnovationChildren's National Health System"", 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': ""Sheikh Zayed Institute for Pediatric Surgical InnovationChildren's National Health System""}]"
,0,1,0,310,https://openalex.org/W794726351,https://doi.org/10.1016/j.aci.2015.06.001,A Genetic-Neuro-Fuzzy inferential model for diagnosis of tuberculosis,A Genetic-Neuro-Fuzzy inferential model for diagnosis of tuberculosis,2017,2017-01-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2029989423', 'display_name': 'M. O. Omisore', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I197610006', 'display_name': 'University of Lagos', 'ror': 'https://ror.org/05rk03822', 'country_code': 'NG', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Centre for Information Technology & Systems, University of Lagos, Yaba-Akoka, Lagos, Nigeria'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2304926124', 'display_name': 'Oluwarotimi Williams Samuel', 'orcid': 'https://orcid.org/0000-0003-1945-1402'}, 'institutions': [{'id': None, 'display_name': 'Biomedical Engineering & Health Techonolgy, Shenzhen Institute of Advanced Techonolgy, CAS, Shenzhen, Guangdong, China', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Biomedical Engineering & Health Techonolgy, Shenzhen Institute of Advanced Techonolgy, CAS, Shenzhen, Guangdong, China'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A1905288768', 'display_name': 'Edafe John Atajeromavwo', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I2802029997', 'display_name': 'Delta State Polytechnic', 'ror': 'https://ror.org/03j28nn17', 'country_code': 'NG', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Computer Science, Delta State Polytechnic, Ogwashi-uku, Nigeria'}]"
JSRT,"0,1",0,0,122,https://openalex.org/W2107806345,https://doi.org/10.1109/tbme.2010.2057509,A Hybrid Knowledge-Guided Detection Technique for Screening of Infectious Pulmonary Tuberculosis From Chest Radiographs,A Hybrid Knowledge-Guided Detection Technique for Screening of Infectious Pulmonary Tuberculosis From Chest Radiographs,2010,2010-07-12,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2619622153', 'display_name': 'Rui Shen', 'orcid': 'https://orcid.org/0000-0001-9642-9618'}, 'institutions': [{'id': 'https://openalex.org/I154425047', 'display_name': 'University of Alberta', 'ror': 'https://ror.org/0160cpw27', 'country_code': 'CA', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '[Dept. of Comput. Sci., Univ. of Alberta, Edmonton, AB, Canada]'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2152632774', 'display_name': 'Irene Cheng', 'orcid': 'https://orcid.org/0000-0001-9699-4895'}, 'institutions': [{'id': 'https://openalex.org/I154425047', 'display_name': 'University of Alberta', 'ror': 'https://ror.org/0160cpw27', 'country_code': 'CA', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '[Dept. of Comput. Sci., Univ. of Alberta, Edmonton, AB, Canada]'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2153815270', 'display_name': 'Anup Basu', 'orcid': 'https://orcid.org/0000-0002-7695-4148'}, 'institutions': [{'id': 'https://openalex.org/I154425047', 'display_name': 'University of Alberta', 'ror': 'https://ror.org/0160cpw27', 'country_code': 'CA', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '[Dept. of Comput. Sci., Univ. of Alberta, Edmonton, AB, Canada]'}]"
